FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
WRIGHT	HENNEPIN	1800.084615990147	0.9899382716049383
OLMSTED	KANDIYOHI	0.15145173148444457	0.008209876543209876
RAMSEY	KANDIYOHI	0.3030972536842816	0.016296296296296295
RICE	KANDIYOHI	0.06687733671077842	0.0036419753086419752
SAINTLOUIS	KANDIYOHI	0.23912669329503453	0.012901234567901234
SCOTT	KANDIYOHI	0.06346499842889185	0.0034567901234567903
SHERBURNE	KANDIYOHI	0.22638535033336674	0.012222222222222223
STEARNS	KANDIYOHI	296377.75289606646	1.0
WASHINGTON	KANDIYOHI	0.29376501602351945	0.01580246913580247
WRIGHT	KANDIYOHI	0.14112406681529222	0.007654320987654321
RAMSEY	OLMSTED	296377.75289606646	1.0
RICE	OLMSTED	9.09223524578334	0.33197530864197533
SAINTLOUIS	OLMSTED	0.1871135316968839	0.010123456790123457
SCOTT	OLMSTED	0.34755364360755286	0.018641975308641975
SHERBURNE	OLMSTED	0.07940010342808664	0.004320987654320987
STEARNS	OLMSTED	0.8028617621799274	0.04203703703703704
WASHINGTON	OLMSTED	0.7537611408896265	0.0395679012345679
WRIGHT	OLMSTED	0.3334918414344624	0.017901234567901235
RICE	RAMSEY	1.339326790768955	0.06820987654320988
SAINTLOUIS	RAMSEY	18.25543963528205	0.49944444444444447
SCOTT	RAMSEY	0.36986162993595045	0.019814814814814816
SHERBURNE	RAMSEY	10.714033623805154	0.369320987654321
STEARNS	RAMSEY	49.15866970508879	0.7287654320987654
WASHINGTON	RAMSEY	31.078601760083046	0.6294444444444445
WRIGHT	RAMSEY	1.7591643863853614	0.08771604938271604
SAINTLOUIS	RICE	0.14915569512428536	0.00808641975308642
SCOTT	RICE	0.2728016835110341	0.014691358024691358
SHERBURNE	RICE	1.151231169584805	0.05919753086419753
STEARNS	RICE	0.790562892860335	0.04141975308641975
WASHINGTON	RICE	0.850979181591387	0.044444444444444446
WRIGHT	RICE	0.4347393645086433	0.023209876543209877
SCOTT	SAINTLOUIS	0.3757410283340073	0.020123456790123458
